YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
2003,U.S. Open,Andy Roddick,Juan Carlos Ferrero,American,,,right,DecoTurf - outdoors,1000000
2003,Wimbledon,Roger Federer,Mark Philippoussis,Swiss,,,right,Grass / Outdoor,575000
2003,French Open,Juan Carlos Ferrero,Martin Verkerk,Spanish,,,right,Clay,840000
2003,Australian Open,Andre Agassi,Rainer Schuettler,American,,,right,Rebound Ace,1127850
2002,U.S. Open,Pete Sampras,Andre Agassi,American,,,right,DecoTurf - outdoors,900000
2002,Wimbledon,Lleyton Hewitt,David Nalbandian,Australian,,,right,Grass / Outdoor,525000
2002,French Open,Albert Costa,Juan Carlos Ferrero,Spanish,,,right,Clay,780000
2002,Australian Open,Thomas Johannson,Marat Safin,Swedish,,,right,Rebound Ace,1000000
2001,U.S. Open,Lleyton Hewitt,Pete Sampras,Australian,,,right,DecoTurf - outdoors,850000
2001,Wimbledon,Goran Ivanisevic,Patrick Rafter,Croatian,,,left,Grass / Outdoor,500000
2001,French Open,Gustavo Kuerten,Alex Corretja,Brazilian,,,right,Clay,4538000
2001,Australian Open,Andre Agassi,Arnaud Clement,American,,,right,Rebound Ace,830500
2000,U.S. Open,Marat Safin,Pete Sampras,Russian,,,right,DecoTurf - outdoors,800000
2000,Wimbledon,Pete Sampras,Patrick Rafter,American,,,right,Grass / Outdoor,477500
2000,French Open,Gustavo Kuerten,Magnus Norman,Brazilian,,,right,Clay,4240000
2000,Australian Open,Andre Agassi,Yevgeny Kafelnikov,American,,,right,Rebound Ace,755000
1999,U.S. Open,Andre Agassi,Todd Martin,American,,,right,DecoTurf - outdoors,750000
1999,Wimbledon,Pete Sampras,Andre Agassi,American,,,right,Grass / Outdoor,455000
1999,French Open,Andre Agassi,Andre Medvedev,American,,,right,Clay,4040000
1999,Australian Open,Yevgeny Kafelnikov,Thomas Enqvist,Russian,,,right,Rebound Ace,722000
1998,U.S. Open,Patrick Rafter,Mark Philippoussis,Australian,,,right,DecoTurf - outdoors,700000
1998,Wimbledon,Pete Sampras,Goran Ivanisevic,American,,,right,Grass / Outdoor,435000
1998,French Open,Carlos Moya,Alex Corretja,Spanish,,,right,Clay,3852000
1998,Australian Open,Petr Korda,Marcelo Rios,Czech,,,left,Rebound Ace,615000
1997,U.S. Open,Patrick Rafter,Greg Rusedski,Australian,,,right,DecoTurf - outdoors,650000
1997,Wimbledon,Pete Sampras,Cedric Pioline,American,,,right,Grass / Outdoor,415000
1997,French Open,Gustavo Kuerten,Sergi Bruguera,Brazilian,,,right,Clay,3668000
1997,Australian Open,Pete Sampras,Carlos Moya,American,,,right,Rebound Ace,585000
1996,U.S. Open,Pete Sampras,Michael Chang,American,,,right,DecoTurf - outdoors,600000
1996,Wimbledon,Richard Krajicek,MaliVai Washington,Dutch,,,right,Grass / Outdoor,392500
1996,French Open,Yevgeny Kafelnikov,Michael Stich,Russian,,,right,Clay,3452000
1996,Australian Open,Boris Becker,Michael Chang,German,,,right,Rebound Ace,562000
1995,U.S. Open,Pete Sampras,Andre Agassi,American,,,right,DecoTurf - outdoors,575000
1995,Wimbledon,Pete Sampras,Boris Becker,American,,,right,Grass / Outdoor,365000
1995,French Open,Thomas Muster,Michael Chang,Austrian,,,left,Clay,3320000
1995,Australian Open,Andre Agassi,Pete Sampras,American,,,right,Rebound Ace,480000
1994,U.S. Open,Andre Agassi,Michael Stich,American,,,right,DecoTurf - outdoors,550000
1994,Wimbledon,Pete Sampras,Goran Ivanisevic,American,,,right,Grass / Outdoor,345000
1994,French Open,Sergi Bruguera,Alberto Berasategui,Spanish,,,right,Clay,3160000
1994,Australian Open,Pete Sampras,Todd Martin,American,,,right,Rebound Ace,460000
1993,U.S. Open,Pete Sampras,Cedric Pioline,American,,,right,DecoTurf - outdoors,535000
1993,Wimbledon,Pete Sampras,Jim Courier,American,,,right,Grass / Outdoor,305000
1993,French Open,Sergi Bruguera,Jim Courier,Spanish,,,right,Clay,2680000
1993,Australian Open,Jim Courier,Stefan Edberg,American,,,right,Rebound Ace,410000
1992,U.S. Open,Stefan Edberg,Pete Sampras,Swedish,,,right,DecoTurf - outdoors,500000
